Timestamp (IT),Type,Network,Message Type,Connected Profile,Brand Keyword,Received From (Network Name),Sent By (Sprout User),Native Permalink,Permalink,Message,Tags,Tags Applied By,First Tag Timestamp,Reply Status,Replied By,First Reply Timestamp,Completed Status,Completed By,Completed Timestamp,Liked Status,Liked By,Liked Timestamp,Hidden Status,Hidden By,Hidden Timestamp,Message ID,GUID (Internal Identifier),Parent Post ID,Ad ID,Ad Campaign ID,Ad Account ID,In Response To: Timestamp,In Response To: Message ID,In Response To: Message,Task Status,Task Assignee
2023-05-20 19:44:37,Incoming,Twitter,Tweet,,HP printer,enrico96f,,https://twitter.com/enrico96f/status/1659925598746157057,https://app.sproutsocial.com/profile/twitter/1583355903256023040/reply/7733343/t:1659925598746157057/?gid=2089983&pollinator_source=export,"HP Color LaserJet Pro Multifunction M479fdw Wireless Laser Printer with One-Year, Next-Business Day, Onsite Warranty, Works w 40DHZY0

https://t.co/GJVdJKZ24L",,,,No,,,No,,,No,,,No,,,1659925598746157057,t:1659925598746157057,,,,,,,,Not tasked,
2023-05-20 19:43:23,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659925287662960640,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659925287662960640/?gid=2089983&pollinator_source=export,https://t.co/paix6uX6js HP Deskjet 2700 Series Ink Cartridge | Connect Wireless Network | 123 HP Setup #Computer #Printer #Drivers #Software,,,,No,,,No,,,No,,,No,,,1659925287662960640,t:1659925287662960640,,,,,,,,Not tasked,
2023-05-20 19:40:50,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659924649004638208,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659924649004638208/?gid=2089983&pollinator_source=export,https://t.co/7Novt0Ph4D Download HP Printer Wireless or Wi-Fi Software SW | 123 HP Com #hpprinter #Computer #Printer #Drivers #Software,,,,No,,,No,,,No,,,No,,,1659924649004638208,t:1659924649004638208,,,,,,,,Not tasked,
2023-05-20 19:39:19,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659924266865893384,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659924266865893384/?gid=2089983&pollinator_source=export,https://t.co/39C9BULzrG Create HP Smart App Account & Activate HP+ Printer (Windows + Mac) #Computer #Printer #Drivers #Software,,,,No,,,No,,,No,,,No,,,1659924266865893384,t:1659924266865893384,,,,,,,,Not tasked,
2023-05-20 19:37:58,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659923924442832898,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659923924442832898/?gid=2089983&pollinator_source=export,"https://t.co/pFWlF8X5Tq https://t.co/d8SFGrgv9p HP DeskJet, ENVY Pro Printers Wireless WiFi SetUp | 123 HP Setup #Computer #Printer #Drivers #Software",,,,No,,,No,,,No,,,No,,,1659923924442832898,t:1659923924442832898,,,,,,,,Not tasked,
2023-05-20 19:31:28,Incoming,Twitter,Tweet,,HP printer,Baiday_,,https://twitter.com/Baiday_/status/1659922290555887619,https://app.sproutsocial.com/profile/twitter/1599872612674543617/reply/7733343/t:1659922290555887619/?gid=2089983&pollinator_source=export,"Famous Baiday Today!
Have you ever used a HP laptop, PC, printer or any HP brand gadget before?
Here's one of the persons who made it a possibility, William Redington Hewlett.
His name lives on!
•
Like, retweet & follow @baiday_
• https://t.co/HOMPSSXroQ",,,,No,,,No,,,No,,,No,,,1659922290555887619,t:1659922290555887619,,,,,,,,Not tasked,
2023-05-20 19:31:28,Incoming,Twitter,Tweet,,HP printer,firestarter_dla,,https://twitter.com/firestarter_dla/status/1659922291977773057,https://app.sproutsocial.com/profile/twitter/74446576/reply/7733343/t:1659922291977773057/?gid=2089983&pollinator_source=export,@MartinSLewis My @HPUK printer is blocked as the @HP server has deleted all their firmware.  As I have not been able to use my printer for 10 days and I am paying for #hpinstantink what can i do,,,,No,,,No,,,No,,,No,,,1659922291977773057,t:1659922291977773057,,,,,,,,Not tasked,
2023-05-20 19:28:01,Incoming,Twitter,Tweet,,HP printer,TMDmag,,https://twitter.com/TMDmag/status/1659921423308054529,https://app.sproutsocial.com/profile/twitter/47957130/reply/7733343/t:1659921423308054529/?gid=2089983&pollinator_source=export,"Check out the Future of Medical Device Production by exploring HP's 5420W printer producing pure white parts that can be dyed, sterilized, and meet biocompatibility specifications. Register NOW for our May 23rd webinar which starts at 2 PM ET!!! https://t.co/J13kBFTNqE https://t.co/tOwtA2iEYo",,,,No,,,No,,,No,,,No,,,1659921423308054529,t:1659921423308054529,,,,,,,,Not tasked,
2023-05-20 19:27:57,Incoming,Twitter,Tweet,,HP printer,benwokes014,,https://twitter.com/benwokes014/status/1659921405155192835,https://app.sproutsocial.com/profile/twitter/1260273690064744449/reply/7733343/t:1659921405155192835/?gid=2089983&pollinator_source=export,"https://t.co/V6uFGLZyRf https://t.co/d8SFGrgv9p Clear HP Printer Error Code E0,2,3,4,5....49....0x6100004a? #Computer #Printer #Drivers #Software",,,,No,,,No,,,No,,,No,,,1659921405155192835,t:1659921405155192835,,,,,,,,Not tasked,
2023-05-20 19:24:15,Incoming,Twitter,Tweet,,HP printer,firestarter_dla,,https://twitter.com/firestarter_dla/status/1659920475433123841,https://app.sproutsocial.com/profile/twitter/74446576/reply/7733343/t:1659920475433123841/?gid=2089983&pollinator_source=export,@MartinSLewis I have an @HP printer which I have had for less than two years.  @HP are having a problem with their firmware which has stopped me from being able to use my printer for over 9 days and I am paying for an ink subscription - what can I do,,,,No,,,No,,,No,,,No,,,1659920475433123841,t:1659920475433123841,,,,,,,,Not tasked,
